SUBJECT,LABEL,post,pre,improvement
117122,Amygdala,0.4361552193930282,0.3780266343825665,0.0581285850104617
117122,GreyMatter,0.6057474877113945,0.5928252696484901,0.01292221806290439
117122,Hippocampus,0.5990051934752395,0.4948777165867235,0.10412747688851598
117122,Thalamus,0.7932367149758454,0.7522610553106395,0.04097565966520589
117122,WhiteMatter,0.7851234665557294,0.7657726668888352,0.019350799666894236
118528,Amygdala,0.4845865744742149,0.388547158758055,0.09603941571615987
118528,GreyMatter,0.6333712258802664,0.6257860590688596,0.007585166811406752
118528,Hippocampus,0.6311434386573688,0.4909357401835995,0.1402076984737693
118528,Thalamus,0.7926504405637395,0.7527222162798161,0.0399282242839234
118528,WhiteMatter,0.7988579826314252,0.7776517350562205,0.021206247575204618
118730,Amygdala,0.556419190565532,0.4592774922174762,0.0971416983480558
118730,GreyMatter,0.6300710323399328,0.6279567146550898,0.002114317684842937
118730,Hippocampus,0.5482346399777592,0.4481188064151047,0.10011583356265452
118730,Thalamus,0.7794291664694467,0.7354970384009584,0.04393212806848834
118730,WhiteMatter,0.7799873862400332,0.755655748423668,0.02433163781636516
118932,Amygdala,0.5448209099709583,0.4397443700547778,0.10507653991618054
118932,GreyMatter,0.6395694321067444,0.6319808199819412,0.007588612124803218
118932,Hippocampus,0.6118614210217264,0.4729157378510923,0.13894568317063405
118932,Thalamus,0.8021244102026396,0.7629182572348638,0.03920615296777574
118932,WhiteMatter,0.7911140722012479,0.7698528486313913,0.021261223569856602
120111,Amygdala,0.5092552359433389,0.4329094572997012,0.07634577864363767
120111,GreyMatter,0.5979320346329825,0.5888462883740953,0.00908574625888725
120111,Hippocampus,0.5903412659641287,0.4655888136333843,0.12475245233074445
120111,Thalamus,0.7723689889376008,0.7240607851414099,0.04830820379619083
120111,WhiteMatter,0.7983150618152762,0.7827165577141243,0.015598504101151933
122317,Amygdala,0.5281783597275059,0.4478594950603732,0.08031886466713273
122317,GreyMatter,0.6142968822347465,0.6044745545141101,0.009822327720636403
122317,Hippocampus,0.6100530222693531,0.4729911142363996,0.13706190803295348
122317,Thalamus,0.8053814870706192,0.7466408938758191,0.05874059319480007
122317,WhiteMatter,0.7945593784361119,0.7748990913248365,0.019660287111275432
122620,Amygdala,0.5472290588135449,0.4603794642857143,0.08684959452783059
122620,GreyMatter,0.5966808895447386,0.5964353154264134,0.00024557411832526466
122620,Hippocampus,0.5785035827362106,0.4748500599760096,0.10365352276020101
122620,Thalamus,0.8038152844015354,0.7618360024503369,0.04197928195119849
122620,WhiteMatter,0.7811119464003857,0.7539348549913161,0.027177091409069654
123117,Amygdala,0.5450651769087523,0.4450250055982682,0.10004017131048415
123117,GreyMatter,0.6297041147745547,0.6145675927684978,0.015136522006056863
123117,Hippocampus,0.6643518518518519,0.504428608522547,0.15992324332930485
123117,Thalamus,0.793499088117829,0.7413003467020503,0.05219874141577874
123117,WhiteMatter,0.8000334357695111,0.7778668019523118,0.0221666338171993
123925,Amygdala,0.4972534894191805,0.4321305210553391,0.0651229683638414
123925,GreyMatter,0.5991123988665858,0.5845716506097384,0.01454074825684748
123925,Hippocampus,0.5767369977153608,0.4687928946306015,0.10794410308475932
123925,Thalamus,0.8288100681319179,0.7841525983011517,0.04465746983076624
123925,WhiteMatter,0.7967850430213439,0.775402207298378,0.021382835722965843
124422,Amygdala,0.6116218560277537,0.5145770501220738,0.09704480590567988
124422,GreyMatter,0.5985612502322014,0.5939108415765875,0.004650408655613947
124422,Hippocampus,0.6045632798573976,0.4925636788420993,0.11199960101529827
124422,Thalamus,0.8198178716451621,0.7850198548541695,0.03479801679099259
124422,WhiteMatter,0.7885934767454659,0.7608633973223028,0.02773007942316308
